"Displacements:0","Displacements:1","Displacements:2","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.047495,0.0061118,0.0075359,0.02505,-6.35e-06,-2.2918e-05,4.2323e-05,3.4828e-05,4.3085e-06,0.050118,-0.015029,-0.015072,0.00022008,0.00018111,2.2404e-05,0,0,0,0.02505,2.2405e-05,-5.1764e-05,0.012551,0.0083403,0.025065,8.0877e-07,0.95,0.1,0
0.048748,0.0061193,0.0075408,0.025045,-3.123e-06,-2.32e-05,3.3621e-05,3.7441e-05,9.4859e-06,0.050105,-0.015019,-0.015071,0.00017483,0.00019469,4.9327e-05,0,0,0,0.025045,2.6846e-05,-5.3225e-05,0.012549,0.0083394,0.025058,8.0808e-07,1,0.1,0
0.0013752,0.00056734,0.001195,0.033335,0.011356,0.0089519,0.0041719,1.1211e-05,0.0067544,0.054484,-0.0026592,-0.0089107,0.021694,5.8295e-05,0.035123,0,0,0,0.036061,0.011071,0.0065108,0.014775,0.017881,0.027564,1.0363e-06,0,0.15,0
0.0027242,0.0011178,0.002171,0.030897,0.0083083,0.0052464,0.0038565,3.9449e-05,0.0048715,0.053661,-0.0050694,-0.01303,0.020054,0.00020514,0.025332,0,0,0,0.03272,0.0079236,0.0038082,0.014456,0.014817,0.027111,9.7516e-07,0.05,0.15,0
0.0053661,0.0021572,0.0037842,0.027435,0.0039877,0.0010921,0.0030687,0.00010498,0.002087,0.051823,-0.0091409,-0.01667,0.015957,0.00054592,0.010853,0,0,0,0.028077,0.0036042,0.00083347,0.013622,0.010838,0.026,8.6789e-07,0.1,0.15,0
0.0079065,0.0030381,0.0048613,0.025775,0.002016,0.0004002,0.0021302,0.00016173,0.00083927,0.0501,-0.011673,-0.015874,0.011077,0.00084098,0.0043642,0,0,0,0.026027,0.0018276,0.00033648,0.012845,0.0093969,0.024987,7.9286e-07,0.15,0.15,0
0.010376,0.0037241,0.0056118,0.024819,0.00098108,9.5578e-05,0.0012943,0.000184,0.00033307,0.048991,-0.012986,-0.015289,0.0067306,0.0009568,0.001732,0,0,0,0.02491,0.00094565,3.9716e-05,0.012435,0.0086317,0.024433,7.4697e-07,0.2,0.15,0
0.012806,0.0042287,0.0061444,0.024336,0.00046603,7.1212e-06,0.00065873,0.00017915,9.5231e-05,0.048388,-0.013674,-0.014867,0.0034254,0.00093156,0.0004952,0,0,0,0.024363,0.00051599,-6.9294e-05,0.012216,0.0082698,0.024145,7.225e-07,0.25,0.15,0
0.015215,0.0045835,0.0065246,0.024122,0.00018892,-2.9338e-05,0.00021054,0.00015784,-2.3589e-05,0.048149,-0.014078,-0.014645,0.0010948,0.00082077,-0.00012266,0,0,0,0.024128,0.00027604,-0.00012187,0.012125,0.008094,0.024053,7.1477e-07,0.3,0.15,0
0.01762,0.0048205,0.0067935,0.024095,3.5357e-05,-4.1624e-05,-8.9157e-05,0.00012714,-8.597e-05,0.048195,-0.014362,-0.014562,-0.00046362,0.00066114,-0.00044704,0,0,0,0.024098,0.0001334,-0.00014177,0.01212,0.0080297,0.024103,7.194e-07,0.35,0.15,0
