"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.029431,0.0029963,0.011068,0.00026902,0.0034012,-3.4021e-06,0,0,0.0099673,-0.0040719,0,-8.8454e-06,0,0,0,0.011068,0.00026902,0.0034012,-0.01805,0.0049129,0.0096235,2.9961e-08,0.6,0.48,0
0.02963,0.003027,0.010834,0.00016162,0.0032987,3.7137e-05,0,0,0.0097961,-0.0040783,0,9.6555e-05,0,0,0,0.010834,0.00016149,0.0032987,0.19936,0.0047648,0.0095009,2.8402e-08,0.62,0.48,0
0.029823,0.0030448,0.01055,1.1615e-05,0.0031684,-3.7168e-05,0,0,0.0095958,-0.0041039,0,-9.6638e-05,0,0,0,0.01055,1.1484e-05,0.0031684,-0.20208,0.0045766,0.0093679,2.6625e-08,0.64,0.48,0
0.030014,0.0030486,0.010435,-0.00054782,0.0029661,-0.0001155,0,0,0.0097093,-0.0045681,0,-0.00030029,0,0,0,0.010436,-0.00054904,0.0029661,-0.60245,0.0042843,0.0097166,2.7177e-08,0.66,0.48,0
0.030212,0.0030645,0.0093289,-0.0019663,0.0022088,-6.14e-05,0,0,0.0092562,-0.0054276,0,-0.00015964,0,0,0,0.0093292,-0.0019666,0.0022088,-0.31144,0.0031905,0.0098927,2.1548e-08,0.68,0.48,0
0.030384,0.0031093,0.006331,-0.00093814,0.0016179,0.00015978,0,0,0.012636,-0.0066109,0,0.0020997,0,0,0,0.0063389,-0.00094603,0.0016179,2.7955,0.0023369,0.0064005,1.7007e-08,0.7,0.48,0
0.030677,0.0031137,0.011227,-0.00071922,0.0031522,0.00086125,0,0,0.035893,-0.016532,0,0.011848,0,0,0,0.011305,-0.00079733,0.0031522,5.0073,0.0045532,0.010689,5.0636e-08,0.72,0.48,0
0.032245,0.0024957,0.0085815,-0.00063088,0.0023852,0.00097026,0,0,0.072497,-0.035288,0,0.022704,0,0,0,0.0086826,-0.00073196,0.0023852,5.9475,0.0034453,0.0083069,1.6081e-08,0.74,0.48,0
0.033577,0.0018166,0.0080703,-0.00021048,0.002358,0.00058879,0,0,0.066835,-0.030051,0,0.013778,0,0,0,0.008112,-0.00025213,0.002358,4.0468,0.0034059,0.0074122,1.2509e-08,0.76,0.48,0
0.034918,0.0012639,0.0083312,0.00060143,0.0026798,0.00066618,0,0,0.066122,-0.024317,0,0.015589,0,0,0,0.0083882,0.00054444,0.0026798,4.8899,0.0038708,0.0070239,1.2409e-08,0.78,0.48,0
0.036222,0.00084159,0.0082921,0.00066485,0.0026871,0.00074853,0,0,0.065579,-0.02366,0,0.017515,0,0,0,0.0083649,0.00059209,0.0026871,5.5523,0.0038813,0.0069657,1.2212e-08,0.8,0.48,0
0.037541,0.0005631,0.0083819,0.00061425,0.0026988,0.00078159,0,0,0.066492,-0.02439,0,0.018289,0,0,0,0.0084597,0.00053638,0.0026988,5.6892,0.0038983,0.0070938,1.2754e-08,0.82,0.48,0
0.038881,0.00037684,0.0084595,0.0005371,0.002699,0.0007532,0,0,0.067398,-0.025294,0,0.017625,0,0,0,0.0085305,0.00046613,0.002699,5.383,0.0038985,0.007212,1.3223e-08,0.84,0.48,0
0.040237,0.00025362,0.0085075,0.00044018,0.0026843,0.00069603,0,0,0.068132,-0.026256,0,0.016287,0,0,0,0.0085671,0.00038057,0.0026843,4.8951,0.0038773,0.0073121,1.3565e-08,0.86,0.48,0
0.041607,0.00017464,0.0085425,0.00034117,0.0026651,0.00062062,0,0,0.068765,-0.02719,0,0.014522,0,0,0,0.0085892,0.00029448,0.0026651,4.3031,0.0038496,0.0073999,1.3838e-08,0.88,0.48,0
0.042988,0.00012613,0.0085693,0.00025004,0.0026458,0.00053172,0,0,0.069305,-0.028031,0,0.012442,0,0,0,0.0086032,0.0002162,0.0026458,3.6422,0.0038217,0.0074745,1.4056e-08,0.9,0.48,0
0.044379,9.7915e-05,0.0085898,0.00017271,0.0026288,0.00043338,0,0,0.069745,-0.028736,0,0.010141,0,0,0,0.0086121,0.00015045,0.0026288,2.9397,0.0037971,0.0075346,1.4224e-08,0.92,0.48,0
0.045778,8.2561e-05,0.0085766,5.9946e-05,0.002591,0.00032473,0,0,0.070032,-0.029613,0,0.0075986,0,0,0,0.008589,4.7583e-05,0.002591,2.1804,0.0037425,0.0075961,1.4298e-08,0.94,0.48,0
0.047182,7.4904e-05,0.0085983,2.1967e-05,0.0025861,0.00022134,0,0,0.070343,-0.03,0,0.0051794,0,0,0,0.008604,1.6258e-05,0.0025861,1.4774,0.0037354,0.0076344,1.443e-08,0.96,0.48,0
0.04859,7.157e-05,0.0086198,4.1833e-05,0.0025985,0.00011086,0,0,0.070449,-0.029913,0,0.0025941,0,0,0,0.0086212,4.0401e-05,0.0025985,0.74032,0.0037534,0.0076304,1.4473e-08,0.98,0.48,0
0.05,7.0663e-05,0.0086215,3.3113e-05,0.0025964,-1.9385e-06,0,0,0.070494,-0.02999,0,-4.536e-05,0,0,0,0.0086215,3.3112e-05,0.0025964,-0.012932,0.0037503,0.0076365,1.4488e-08,1,0.48,0
0,0,0.0073012,0.0031291,0.0031291,-0.00030777,0,0,0.048813,0,0,-0.0072018,0,0,0,0.0073237,0.0031065,0.0031291,-4.1964,0.0045198,0.004206,3.8211e-09,0,0.5,0
