"Displacements:0","Displacements:1","Displacements:2","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.14728,0.015899,0.78223,-1.1398,-0.72884,-1.3428,-0.0010208,0,0,0.26395,0.79817,0,-0.002654,0,0,1.0859,-0.0022494,0,1.0859,-0.72884,-1.1398,-1.3428,-89.858,-1.0705,0.54179,0.004471,0.22,0.02,0
0.15221,0.015515,0.76049,-1.1339,-0.71642,-1.3156,-0.0087648,0,0,0.23618,0.77893,0,-0.022789,0,0,1.0857,0.0025542,0,1.0857,-0.71623,-1.1341,-1.3156,-88.798,-1.0553,0.53234,0.0048214,0.24,0.02,0
0.15672,0.014776,0.7388,-1.1204,-0.71992,-1.2909,-0.016269,0,0,0.22167,0.74227,0,-0.042298,0,0,1.0806,0.0075996,0,1.0806,-0.71926,-1.121,-1.2909,-87.677,-1.0437,0.50845,0.0042989,0.26,0.02,0
0.16108,0.013723,0.71727,-1.0998,-0.73831,-1.2687,-0.023287,0,0,0.21956,0.68951,0,-0.060546,0,0,1.0703,0.01294,0,1.0704,-0.73681,-1.1013,-1.2687,-86.329,-1.0356,0.47105,0.0031726,0.28,0.02,0
0.16551,0.012429,0.69599,-1.0737,-0.76916,-1.2489,-0.028566,0,0,0.2277,0.6236,0,-0.074272,0,0,1.0547,0.018186,0,1.0549,-0.7665,-1.0763,-1.2489,-84.687,-1.0306,0.42333,0.0018297,0.3,0.02,0
0.17019,0.011023,0.67508,-1.0446,-0.80665,-1.2305,-0.030356,0,0,0.24163,0.55094,0,-0.078925,0,0,1.0346,0.022405,0,1.0349,-0.80284,-1.0484,-1.2305,-82.843,-1.0272,0.37168,0.00066929,0.32,0.02,0
0.17517,0.0096691,0.65461,-1.0157,-0.842,-1.2119,-0.027996,0,0,0.25508,0.4809,0,-0.072789,0,0,1.0114,0.024444,0,1.0118,-0.8376,-1.0201,-1.2119,-81.067,-1.0232,0.32421,-7.5356e-05,0.34,0.02,0
0.18039,0.0085116,0.63462,-0.99001,-0.86726,-1.1918,-0.022551,0,0,0.26234,0.4219,0,-0.058633,0,0,0.98773,0.023497,0,0.98808,-0.86325,-0.99402,-1.1918,-79.912,-1.0164,0.2865,-0.00041607,0.36,0.02,0
0.18566,0.0076193,0.6151,-0.96957,-0.8795,-1.1698,-0.016138,0,0,0.26033,0.37742,0,-0.041958,0,0,0.96641,0.019626,0,0.96666,-0.8767,-0.97237,-1.1698,-80.142,-1.0063,0.2589,-0.00049852,0.38,0.02,0
0.1908,0.006988,0.59597,-0.95518,-0.88011,-1.1466,-0.010146,0,0,0.24879,0.34637,0,-0.026381,0,0,0.94986,0.013719,0,0.94998,-0.87877,-0.95653,-1.1466,-82.436,-0.99395,0.23861,-0.00045608,0.4,0.02,0
0.19562,0.0065799,0.57711,-0.94653,-0.87147,-1.1225,-0.0049145,0,0,0.22877,0.32635,0,-0.012778,0,0,0.93948,0.0070432,0,0.93951,-0.87115,-0.94685,-1.1225,-86.27,-0.98017,0.22335,-0.00035849,0.42,0.02,0
0.19995,0.0063597,0.55839,-0.94302,-0.85516,-1.0978,-0.00016258,0,0,0.20127,0.31549,0,-0.00042272,0,0,0.93552,0.00070611,0,0.93552,-0.85516,-0.94302,-1.0978,-89.894,-0.96534,0.21282,-0.00022595,0.44,0.02,0
0.20367,0.0063047,0.53969,-0.94413,-0.83179,-1.0725,0.0043087,0,0,0.16683,0.31287,0,0.011203,0,0,0.93733,-0.0045744,0,0.93734,-0.83163,-0.9443,-1.0725,87.807,-0.94946,0.20871,-5.1901e-05,0.46,0.02,0
0.20663,0.0063984,0.52089,-0.94944,-0.80172,-1.0462,0.0083891,0,0,0.12585,0.31788,0,0.021812,0,0,0.94372,-0.0084634,0,0.94377,-0.80125,-0.94991,-1.0462,86.76,-0.93247,0.21378,0.00018058,0.48,0.02,0
0.2087,0.0066187,0.50194,-0.95829,-0.76567,-1.0191,0.011708,0,0,0.079087,0.32949,0,0.03044,0,0,0.95327,-0.010899,0,0.95335,-0.76496,-0.959,-1.0191,86.534,-0.91436,0.23007,0.00048439,0.5,0.02,0
0.20979,0.0069314,0.48276,-0.96974,-0.72511,-0.99122,0.013846,0,0,0.027927,0.34594,0,0.035999,0,0,0.96462,-0.01201,0,0.96472,-0.72433,-0.97052,-0.99122,86.771,-0.89536,0.25716,0.0008544,0.52,0.02,0
0.20982,0.0072908,0.46335,-0.98255,-0.68219,-0.96277,0.014556,0,0,-0.025711,0.36476,0,0.037845,0,0,0.97657,-0.012047,0,0.97667,-0.68148,-0.98325,-0.96277,87.232,-0.87584,0.29207,0.0012584,0.54,0.02,0
0.20876,0.0076472,0.4437,-0.99543,-0.63927,-0.93411,0.01389,0,0,-0.07971,0.38329,0,0.036113,0,0,0.98821,-0.011319,0,0.98829,-0.63873,-0.99597,-0.93411,87.77,-0.85627,0.33067,0.0016401,0.56,0.02,0
0.20663,0.0079566,0.42382,-1.0072,-0.59845,-0.90552,0.012163,0,0,-0.13219,0.39919,0,0.031625,0,0,0.99891,-0.010124,0,0.99897,-0.59809,-1.0076,-0.90552,88.297,-0.83706,0.36919,0.0019341,0.58,0.02,0
0.20347,0.0081875,0.40374,-1.0171,-0.56114,-0.87721,0.0098203,0,0,-0.18182,0.41089,0,0.025533,0,0,1.0083,-0.0087067,0,1.0084,-0.56093,-1.0173,-0.87721,88.767,-0.81847,0.40492,0.0020852,0.6,0.02,0
0.19936,0.0083235,0.38349,-1.0246,-0.52801,-0.84927,0.0072753,0,0,-0.22791,0.41763,0,0.018916,0,0,1.0163,-0.0072335,0,1.0163,-0.5279,-1.0247,-0.84927,89.161,-0.80062,0.43637,0.0020612,0.62,0.02,0
0.19436,0.008361,0.36309,-1.0296,-0.49916,-0.82173,0.0048224,0,0,-0.27029,0.41935,0,0.012538,0,0,1.0228,-0.0057975,0,1.0228,-0.49912,-1.0297,-0.82173,89.479,-0.78351,0.46305,0.0018554,0.64,0.02,0
0.18854,0.0083053,0.34258,-1.0324,-0.47431,-0.79459,0.0026156,0,0,-0.30916,0.41637,0,0.0068007,0,0,1.0279,-0.0044352,0,1.0279,-0.47429,-1.0324,-0.79459,89.731,-0.7671,0.48511,0.0014808,0.66,0.02,0
0.18199,0.0081665,0.32198,-1.0331,-0.45298,-0.7678,0.00069839,0,0,-0.3449,0.40926,0,0.0018158,0,0,1.0317,-0.0031464,0,1.0317,-0.45298,-1.0331,-0.7678,89.931,-0.7513,0.50301,0.00096205,0.68,0.02,0
